SCANNED TRANSCRIPT MANIFEST
============================================================
FORMAT: filename | source | [categories] | summary
2026-05-25_15_AI_Tools_That_Will_Make_You_$1M_(With_Zero_Employees).txt | dan_martell | [A+B+C+D] | Build $1M+ solo/small-team businesses by shifting from task executor to workflow director: use Fathom (meeting AI) for knowledge capture, Zapier for data automation, Gum Loop for AI-driven decisions, and Cursor for fast feature shipping—automate everything except strategic decisions.
2026-05-25_15_Principles_of_Success.txt | dan_martell | [A+B+C+D] | Fear, measurement, and permission—take action toward opportunities (not away from risk), measure with precision to delegate decision-making, and stop waiting for permission to build.
2026-05-25_15_Principles_of_Success.txt | dan_martell | [A+B+C+D] | Build your identity and beliefs first, move fast with imperfect data, measure what matters with precision, and act in spite of fear—these are the operating principles for scaling multiple businesses through ODIN.
2026-05-25_17_Business_Cheat_Codes_I_Wish_I_Knew_When_I_Was_17.txt | dan_martell | [A+B+C+D] | Pick high-growth business models with tailwinds, get to first paying customer fast, set clear boundaries on delivery, document everything once (DRY), and renegotiate your own commitments to protect focus—these are the foundational cheat codes for building a scalable multi-spoke portfolio business.
2026-05-25_17_Business_Cheat_Codes_I_Wish_I_Knew_When_I_Was_17.txt | dan_martell | [A+B+C+D] | Build businesses in growing markets with clear scope and documented processes; start by taking money first, not perfecting; renegotiate all commitments upfront so you have bandwidth to execute without burning out.
2026-05-25_18_Tiny_Habits_That_Made_Me_a_Millionaire.txt | dan_martell | [A+B+D] | Wealth compounds through micro-habits (daily money checks, goal reviews, reading, exercise, time boundaries) that require minimal willpower and activate your brain's natural pattern-recognition systems.
2026-05-25_18_Tiny_Habits_That_Made_Me_a_Millionaire.txt | dan_martell | [A+B+D] | Millionaire habits are micro-habits compounded daily: track cash, value your time, review goals 3x/day, automate savings, avoid bad debt, move your body, feed your mind via social and books, and protect sleep — not heroic effort, but systems.
2026-05-25_20_Things_I_Quit_to_Simplify_My_Life.txt | dan_martell | [A+B+D] | Success is built by ruthlessly quitting non-essentials and protecting decision-making energy, not by adding more tools, meetings, or commitments.
2026-05-25_21_Principles_of_Top_0.01%_Leaders_John_Maxwell_Interview.txt | dan_martell | [D] | Lasting success (50+ years) comes from identifying ONE innate strength, committing fully to it, improving daily without coasting, and staying connected to the human impact you create.
2026-05-25_20_Things_I_Quit_to_Simplify_My_Life.txt | dan_martell | [A+B+D] | Success is defined by what you eliminate (meetings, notifications, energy vampires, distractions), not what you add; long-term thinking, reliable execution, and protected focus enable the compound growth of multi-spoke business portfolios.
2026-05-25_23_Questions_to_Stop_Feeling_Lost_in_Life.txt | dan_martell | [C+D] | Building a life of meaning requires forward progress and personal ownership of decisions, not perfect clarity or others' approval—apply this to ODIN validation and new business launches by testing fast and trusting your evolved instincts.
2026-05-25_21_Principles_of_Top_0.01%_Leaders_John_Maxwell_Interview.txt | dan_martell | [D] | True leadership and business success come from singular focus on one domain aligned with your gifts, 50+ years of relentless growth (not mere repetition), and genuine love for the people you serve—not portfolio juggling.
2026-05-25_23_Questions_to_Stop_Feeling_Lost_in_Life.txt | dan_martell | [C+D] | Stop waiting for perfect clarity before building; forward progress reveals purpose. Start businesses around what you'd do for free, not external validation. Fulfillment comes from serving others, not chasing happiness. Own your decisions; don't build for other people's approval.
2026-05-25_23_Ways_to_Use_ChatGPT_So_Well_it_Feels_Like_Cheating.txt | dan_martell | [A+B+C+D] | Use AI as your second brain for automating decision-making, documenting business processes into repeatable SOPs, and structuring knowledge so systems (ODIN) can operate independently—with 13 specific frameworks Brock can implement immediately for his multi-business portfolio and Katelyn's upcoming launches.
2026-05-25_23_Ways_to_Use_ChatGPT_So_Well_it_Feels_Like_Cheating.txt | dan_martell | [A+B+C+D] | AI is a leverage multiplier for business operations, decision-making, and scaling—use it as a documented SOP builder, business memory vault, and personalized business advisor to run ODIN without founder overhead.
2026-05-25_27_Years_of_No_Bullsht_Business_Advice_in_27_Mins.txt | dan_martell | [A+B+C+D] | Stop building for the business; start selling to customers immediately. Automate admin/ops, delegate partnership outreach, keep founder focus on marketing and sales. Passion + preselling + direct customer feedback = sustainable business growth.
2026-05-25_27_Years_of_No_Bullsht_Business_Advice_in_27_Mins.txt | dan_martell | [A+B+C+D] | Stop building (business theater) and start selling; get a stranger to pay you first, then validate with passion-driven work, and delegate all non-revenue tasks so you stay focused on marketing, sales, and fulfillment.
2026-05-25_27_Years_of_No_Bullsht_Sales_Advice_in_16_Mins.txt | dan_martell | [A+B+C] | Sales success is built on documentation, qualification, genuine conversation, value-driven follow-up, and retention-aligned incentives—not on scripts, pressure tactics, or volume. Brock can bake these into ODIN's operating model for Valdr Ops, PartSync, and Katelyn's upcoming businesses.
2026-05-25_27_Years_of_No_Bullsht_Sales_Advice_in_16_Mins.txt | dan_martell | [A+B+C+D] | Master sales fundamentals (qualification, talk tracks, documentation, follow-up, post-sale retention) and apply them to systems design, not just conversations—this is how you scale Valdr Ops, build ODIN's core data layer, and launch Katelyn's businesses without constant founder involvement.
2026-05-25_30_Brutal_Business_Truths_I_Wish_I_Knew_in_My_20s.txt | dan_martell | [A+B+C+D] | Spend money to save time, sell before building, measure relentlessly, and stay relentlessly focused on one course until successful — this is how you build a founder-independent business empire.
2026-05-25_3_Cutting_Edge_SaaS_Marketing_Strategies_That_Work_In_2021.txt | dan_martell | [B+C+D] | Challenge funnels (7-14 day paid learning experiences) are the most powerful SaaS customer acquisition and onboarding strategy today, combining paid CAC recovery with built-in community and product activation.
2026-05-25_30_Brutal_Business_Truths_I_Wish_I_Knew_in_My_20s.txt | dan_martell | [A+B+C+D] | Build businesses by spending money to save time, solving problems for rich people, selling before building, delegating ruthlessly under clear thresholds, and staying impatient with action while patient with results.
2026-05-25_3_Powerful_Ways_To_Improve_The_Quality_of_Your_Thoughts.txt | dan_martell | [D] | Thought quality is the upstream driver of business outcomes; protect it by removing negative information sources and daily visualization of future states to activate opportunity recognition.
2026-05-25_3_Cutting_Edge_SaaS_Marketing_Strategies_That_Work_In_2021.txt | dan_martell | [B+C] | Three high-leverage SaaS marketing funnels—challenge funnels, LinkedIn group prospecting, and vanity marketing—that fund customer acquisition, build community, and pre-qualify leads before product sale.
2026-05-25_3_Powerful_Ways_To_Improve_The_Quality_of_Your_Thoughts.txt | dan_martell | [D] | The quality of your thoughts directly determines the quality of your life and business outcomes—guard your mental input ruthlessly, visualize your future daily to activate opportunity recognition, and avoid negative stimuli rather than rely on willpower to resist them.
2026-05-25_3_Skills_That_Will_Separate_Winners_From_Losers_in_the_AI_Era.txt | dan_martell | [A+B+C+D] | Master vision, taste, and care (not doing) to become irreplaceable in the AI era—build 2-person teams with AI agents as the doing layer, use AI to validate new businesses fast, and establish a personal brand as your defensibility moat.
2026-05-25_3_Skills_That_Will_Separate_Winners_From_Losers_in_the_AI_Era.txt | dan_martell | [A+B+C+D] | The AI era rewards directors (vision, taste, care, brand) not doers (execution); build 2-person teams with $10M revenue targets; use AI to automate 90-92% of work; defensibility comes from brand and media, not the business itself; presell everything before building; adopt AI tools now or get disrupted.
2026-05-25_3_Sources_of_fuel_that_will_sustain_you_as_you_grow.txt | dan_martell | [B+C+D] | Shift from dark energy (prove-them-wrong spite) to light energy (helping team get rich, solving customer problems, serving community) to fuel sustainable multi-business growth without burnout.
2026-05-25_3_Sources_of_fuel_that_will_sustain_you_as_you_grow.txt | dan_martell | [B+C+D] | Replace founder-centric ambition (proving others wrong) with service-centric energy (making team rich, creating customer outcomes, serving community) to sustain multi-business growth without burnout.
2026-05-25_40_Brutal_Truths_I_Wish_I_Knew_in_My_20s.txt | dan_martell | [A+B+C+D] | Success accelerates when you delegate what you hate, set hard boundaries, eliminate energy-draining relationships, and obsess over 1% daily improvement while maintaining unwavering conviction through the misunderstanding phase.
2026-05-25_44_Brutal_Truths_I_Wish_I_Knew_at_24.txt | dan_martell | [B+C+D] | Foundation and discipline beat flashy shortcuts; real confidence and humility come from showing up and delivering, not noise; detachment from outcomes while staying involved creates sustainable scalability.
2026-05-25_40_Brutal_Truths_I_Wish_I_Knew_in_My_20s.txt | dan_martell | [A+B+C+D] | Excellence in what you enjoy, consistency in rhythm, and boldness in execution compound growth; surround yourself with people who demand more from you, and reframe obstacles at inflection points as proof of your capability.
2026-05-25_44_Brutal_Truths_I_Wish_I_Knew_at_24.txt | dan_martell | [B+C+D] | Foundation, discipline, and authentic self-knowledge beat raw hustle — build strong before scaling, trust red flags, and lead by elevating others.
2026-05-25_44_Cheat_Codes_That_I_Know_at_44_That_I_Wish_I_Knew_at_24.txt | dan_martell | [A+C+D] | Structure your energy by task type, design your life (and portfolio) intentionally rather than reactively, own all outcomes, and build community around extraordinary vision — the execution will separate you from doubt.
2026-05-25_4_Mind-Altering_Ways_To_Build_Confidence_And_Overcome_Self_Doubt.txt | dan_martell | [B+D] | Build unshakeable confidence during doubt by revisiting customer impact, documenting achievements, and surrounding yourself with peers/advisors/mentors—then reframe setbacks as opportunities to grow, not reasons to quit.
2026-05-25_44_Cheat_Codes_That_I_Know_at_44_That_I_Wish_I_Knew_at_24.txt | dan_martell | [A+B+C+D] | Strategy and energy management trump effort; design your life and businesses intentionally, embrace being misunderstood while executing clearly, and build by giving first—the world returns what you send into it.
2026-05-25_4_Mindset_Hacks_to_Overcome_Fear_in_Your_Life.txt | dan_martell | [D] | Four mindset frameworks to overcome fear and maintain focus: Faith Over Fear (choose your future belief), Get To language (reframe obligation as opportunity), Primary Question (filter focus toward possibility), and Purple Eyes (emotional non-reactivity to external criticism).
2026-05-25_4_Mind-Altering_Ways_To_Build_Confidence_And_Overcome_Self_Doubt.txt | dan_martell | [B+D] | Confidence isn't innate—it's rebuilt through customer impact proof, past achievement recall, curated peer/advisor/mentor networks, and reframing business crises as growth opportunities rather than failure signs.
2026-05-25_4_Mindset_Hacks_to_Overcome_Fear_in_Your_Life.txt | dan_martell | [D] | Four mental frameworks from Tony Robbins for overcoming fear and emotional reactivity: Faith over Fear, Get To vs. Have To language, Primary Questions, and Purple Eyes Reaction—all directly applicable to founder energy management and decision-making when scaling multiple businesses.
2026-05-25_4_Steps_to_Building_a_High-Performance_Team.txt | dan_martell | [A+B+C+D] | Train your people aggressively and align their personal goals to your business outcomes; your business ceiling is your leadership ceiling, and scarcity mindset around training/delegation keeps you stuck.
2026-05-25_4_Steps_to_Building_a_High-Performance_Team.txt | dan_martell | [A+B+D] | Train your people relentlessly, align their goals with your business needs, build clear growth paths, and invest in your own leadership—this is how you build a business that runs without you.
2026-05-25_4_Steps_to_Build_a_SaaS_Sales_Pipeline.txt | dan_martell | [A+B+C+D] | Build a systematized 4-role sales pipeline (SDR, BDR, AE, CSM) and use MEDDIC to close, or you'll bottleneck as a founder and unconsciously sabotage growth.
2026-05-25_4_Steps_to_Build_a_SaaS_Sales_Pipeline.txt | dan_martell | [A+B+C+D] | A scalable SaaS sales pipeline requires 4 distinct roles (SDR, BDR, AE, CSM); founders must delegate these early to avoid becoming the bottleneck and sabotaging growth. Use MEDDIC, not BANT. ODIN should automate SDR qualification, BDR outbound, and CSM onboarding to run Brock's businesses without him.
2026-05-25_4_Steps_to_Build_Brand_in_Your_Business.txt | dan_martell | [A+B+C+D] | Build authority and scale businesses through consistent, framework-driven education content that attracts customers and team members organically, requiring deliberate practice and long-term thinking rather than perfection.
2026-05-25_4_Steps_to_Build_Brand_in_Your_Business.txt | dan_martell | [B+C+D] | Build authority through education-based marketing (teach, don't sell) by using the SMI question framework to identify customer pain points, then systematize content production via repeatable frameworks to scale with minimal time—core insight: reps and systems eliminate both creative friction and performance anxiety.
2026-05-25_5_Business_Lessons_Learned_Riding_Backcountry_Snowbikes.txt | dan_martell | [A+B+D] | The 1-3-1 management rule, three-part scaling breakdown (people/processes/capital), and hands-vs.-hearts hiring philosophy are the operational principles that let founders build businesses that run without them.
2026-05-25_5_Business_Lessons_Learned_Riding_Backcountry_Snowbikes.txt | dan_martell | [A+B+D] | Three critical systems break during 50%+ growth (people, processes, capital); develop your team faster than you hire; and balance automated execution (hands) with team alignment on mission (hearts).
2026-05-25_5_Major_Startup_Legal_Issues_And_How_To_Avoid_Them.txt | dan_martell | [B+C] | Avoid five critical startup legal traps—wrong entity structure, unassigned IP ownership, unvetted equity allocation, missing vesting, and securities law violations—by documenting everything upfront rather than fixing it retroactively during fundraising.
2026-05-25_5_Major_Startup_Legal_Issues_And_How_To_Avoid_Them.txt | dan_martell | [B+C] | Protect ODIN and your business portfolio by locking down IP ownership in contracts day one, using vesting for all equity allocations, ensuring accredited-only investors, and structuring as a Delaware C-Corp if building a multi-operator platform.
2026-05-25_5_Reasons_You_Should_Join_a_CEO_Group_To_Help_Grow_Your_SaaS_Business.txt | dan_martell | [D] | CEO groups compress learning decades into days, apply positive peer pressure to think bigger, create space for strategic vision away from operational grind, and provide emotional support—all critical for solo founders building multiple ventures.
2026-05-25_5_Reasons_You_Should_Join_a_CEO_Group_To_Help_Grow_Your_SaaS_Business.txt | dan_martell | [D] | CEO groups and masterminds compress learning by decades, inject positive peer pressure, create strategic thinking space, and provide emotional resilience — essential for Brock's multi-business operating model.
2026-05-25_5_SaaS_Pricing_Strategies_That_Will_Boost_Your_Revenue_in_2026.txt | dan_martell | [A+B+C+D] | Pricing is the first lever to pull when scaling any business—use Van Westendorp surveys, histogram analysis, and 3-tier packaging to double revenue without new features or headcount.
2026-05-25_5_SaaS_Pricing_Strategies_That_Will_Boost_Your_Revenue_in_2026.txt | dan_martell | [A+B+C] | Pricing strategy — not product features — is the highest-leverage lever to double revenue; use Van Westendorp surveys, histogram analysis, and tiered packaging to unlock it.
2026-05-25_5_Steps_to_Be_More_Productive.txt | dan_martell | [A+C+D] | Design your life and business by intention—not default—by using the big rocks framework, packaging all operational details in one system, batching similar tasks, and theming your days to reduce context-switching and stay present.
2026-05-25_5_Steps_to_Be_More_Productive.txt | dan_martell | [A+B+C+D] | Design your calendar and business by intentional sequencing (big rocks first), centralize all operational context into one system, batch similar cognitive tasks, and theme days by function to eliminate context-switching waste.
2026-05-25_5_Strategic_Steps_To_Shorten_The_Sales_Cycle_for_Enterprise_Clients.txt | dan_martell | [A+B+C+D] | Compress sales cycles from 16 months to 2-3 months by auditing your pipeline metrics (3VC), clarifying your narrow ICP, mapping your process for friction, and identifying decision-makers early.
2026-05-25_5_Strategic_Steps_To_Shorten_The_Sales_Cycle_for_Enterprise_Clients.txt | dan_martell | [A+B+C+D] | Systematize enterprise sales velocity by auditing 3VC metrics (Volume, Value, Velocity, Conversion), narrowing your ICP to uncomfortably specific segments, mapping the exact sales process stages, and removing friction at each transition—these apply directly to Valdr Ops, new ODIN businesses, and should be built into ODIN's operating system.
2026-05-25_5_Team_Meetings_You_Need_To_Grow_Your_Business.txt | dan_martell | [A+B+C+D] | Implement five non-negotiable meetings (daily standup, weekly sync, monthly review, quarterly planning, and one more not fully detailed) as your company's operating system to scale without the founder—this structure is the 80-20 of business growth and the key differentiator between chaotic scaling and repeatable momentum.
2026-05-25_5_Team_Meetings_You_Need_To_Grow_Your_Business.txt | dan_martell | [A+B+C+D] | Implement 5 core meetings (daily standup, weekly sync, monthly review, quarterly planning + annual strategic planning) as your company's operating system to build momentum, alignment, and remove founder bottlenecks.
2026-05-25_5_Time-Wasting_Habits_That_Are_Holding_You_Back.txt | dan_martell | [A+B+C+D] | Five time-wasting habits—Stalling, Speed Demon, Supervisor (micromanagement), and Saver (under-investment)—sabotage growth by preventing decision velocity, hiring rigor, delegation trust, and strategic investment; fix these habits to actually 'buy back your time.'
2026-05-25_5_Time-Wasting_Habits_That_Are_Holding_You_Back.txt | dan_martell | [A+B+C+D] | Five habitual time assassins (Staller, Speed Demon, Supervisor, Saver, and implicit others) are killing your growth more than any external factor—design systems that remove the choice rather than relying on willpower.
2026-05-25_5_Tips_To_Build_an_Epic_Marriage_And_Avoid_Divorce.txt | dan_martell | [D] | Marriage requires the same systematic, intentional management and feedback loops as successful businesses—prioritize the partnership above individual ventures, implement weekly feedback rituals, and continuously invest before crisis forces withdrawals.
2026-05-25_5_Tips_To_Build_an_Epic_Marriage_And_Avoid_Divorce.txt | dan_martell | [D] | Dan Martell shares marriage fundamentals: prioritize the relationship above business opportunities, use weekly structured feedback (1-10 scale) for continuous improvement, and maintain intentional 'dating' behaviors to prevent drift—applicable to Brock's co-founder partnership with Katelyn as they build the ODIN portfolio together.
2026-05-25_5_Tips_To_IMPROVE_Public_Speaking_For_Beginners.txt | dan_martell | [B+C+D] | Public speaking is a learnable skill that requires reps over theory; structure talks with clear openings/closings and audience benefits; and overcomes fear through commitment and repetition—relevant for Brock pitching ODIN and building founder credibility.
2026-05-25_5_Tips_To_IMPROVE_Public_Speaking_For_Beginners.txt | dan_martell | [B+D] | Public speaking confidence comes from saying yes to opportunities, establishing credibility upfront (ETR), clearly stating audience benefits (WIIFT), using simple structure (TTT and Start/End), and accumulating reps—not from perfect preparation.
2026-05-25_5_Ways_To_Leverage_Customers_For_Business_Growth.txt | dan_martell | [A+B] | Build automated, sequenced customer value extraction systems into your software businesses so they generate referrals, testimonials, and ambassadors without founder involvement—key infrastructure for portfolio-scale operations.
2026-05-25_5_Ways_To_Leverage_Customers_For_Business_Growth.txt | dan_martell | [A+B+C] | Customer value extraction (testimonials, referrals, content, speaking) is a systematizable operating process—seed asks in contracts, trigger on milestones, sequence asks over time as customer succeeds, and automate openers while humans close.
2026-05-25_5_Ways_To_Make_Health_a_Priority_While_Travelling.txt | dan_martell | [B+D] | Dan shares five travel health habits (hydration triggers, morning rituals, daily movement, pre-ordered meals, accountability) that prevent energy/focus collapse during frequent travel—directly applicable to Brock's multi-business travel while building ODIN.
2026-05-25_5_Ways_To_Make_Health_a_Priority_While_Travelling.txt | dan_martell | [B+D] | Health maintenance while traveling is a decision-automation problem solved through morning rituals, location-based triggers, and pre-planning—directly applicable to protecting energy for high-leverage business building.
2026-05-25_5_Ways_to_Successfully_Onboard_New_Hires.txt | dan_martell | [A+B+D] | Structured onboarding (orientation, program documents, 90-day goals, buddies) is the difference between new hires thriving or leaving, and directly applies to ODIN's goal of enabling businesses to run without the founder through documented, scalable onboarding systems.
2026-05-25_5_Ways_to_Successfully_Onboard_New_Hires.txt | dan_martell | [A+B+D] | Onboarding new hires is a deliberate enrollment and indoctrination process (not just hiring), requiring orientation sessions, centralized training documents, 90-day goals, and buddy systems to prevent early churn and accelerate productivity.
2026-05-25_6_Skills_you_MUST_Have_to_Become_Successful.txt | dan_martell | [B+D] | Earning respect—not money or intelligence—is the foundation of success; build it through hard conversations, clear boundaries, direct feedback, and the discipline to address small problems before they become systemic failures.
2026-05-25_6_Skills_you_MUST_Have_to_Become_Successful.txt | dan_martell | [B+D] | Respect—earned through hard conversations, clear boundaries, and seriousness of appearance—is the foundation of success, and building the muscle for discomfort early determines the size of problems (and life) you can handle later.
2026-05-25_6_Things_That_Are_No_Longer_Worth_Your_Time.txt | dan_martell | [B+C+D] | Stop planning perfectly and copying big companies—start messy by getting customer feedback at your stage, do the scary work first, and work 50 focused hours instead of grinding 70.
2026-05-25_6_Things_That_Are_No_Longer_Worth_Your_Time.txt | dan_martell | [A+B+C+D] | Stop planning, start messy action. Copy stage-alikes, not giants. Front-load scary work, not busy work. Celebrate learning faster than perfection.
2026-05-25_7_Habits_of_Millionaires_-_That_Most_People_Learn_Too_Late.txt | dan_martell | [B+C+D] | Millionaires prioritize network warmth over contact volume, block their calendar ruthlessly to protect energy and reveal true capacity, read continuously to compress 20 years of domain knowledge into days, and practice relational skills daily to unlock opportunity doors.
2026-05-25_7_Habits_of_Millionaires_-_That_Most_People_Learn_Too_Late.txt | dan_martell | [B+C+D] | Millionaires prioritize energy management over time, build genuine networks through consistent outreach (and embrace rejection), and feed their minds daily with targeted reading to spot opportunities others miss.
2026-05-25_7_High_Income_Skills_of_the_Top_1%.txt | dan_martell | [A+B+C+D] | Wealth comes from being lazy—building systems (stencils) that eliminate repetition, delegating at 1/4 hourly rate, and monitoring via sensors—not from working harder. This is ODIN's operating logic.
2026-05-25_7_High_Income_Skills_of_the_Top_1%.txt | dan_martell | [A+B+C+D] | The top 1% build wealth by mastering connection, systematizing recurring work, and delegating ruthlessly—the exact operational model ODIN should enable for Brock's multi-business empire.
2026-05-25_7_Insane_Use_Cases_For_Manus_AI_(with_Zero_Code).txt | dan_martell | [A+B+C+D] | AI agents that execute multi-step workflows autonomously (not just answer questions) are the missing infrastructure for ODIN — enabling Brock and Katelyn to build and scale businesses without developers, humans, or long iteration cycles.
2026-05-25_7_Skills_You_Need_to_Become_Successful.txt | dan_martell | [B+C+D] | Master conversation design (70/20/10 listening ratio) and energy projection over facts; curiosity and preparation separate connectors from awkward networkers—critical for founding ODIN's operating engine and launching new business spokes.
2026-05-25_7_Insane_Use_Cases_For_Manus_AI_(with_Zero_Code).txt | dan_martell | [A+B+C+D] | AI agents (like Manifold) execute multi-step workflows autonomously 24/7 at $39/month, enabling founders to rapidly prototype, validate, and operate multiple businesses without developers — making it feasible for Brock to build and scale ODIN as a true business operating system while Katelyn launches parallel ventures.
2026-05-25_8_Business_Lessons_Learned_From_DirtFish_(Rally_Racing).txt | dan_martell | [A+B+C+D] | Test small before scaling big, stabilize before accelerating, follow proven systems first, then adapt—and reset to vision when chaos inevitably strikes.
2026-05-25_7_Skills_You_Need_to_Become_Successful.txt | dan_martell | [B+C+D] | People skills aren't about being impressive—they're about asking great questions, listening 70% of the time, and communicating energy over ideas; this framework applies directly to business growth, sales, and team building.
2026-05-25_8_Habits_That_Will_Fix_98%_of_Your_Problems.txt | dan_martell | [A+B+C+D] | Daily measurement of critical metrics, hard work discipline, and physical energy management are the foundational habits that unlock sustainable business growth and eliminate decision paralysis.
2026-05-25_8_Business_Lessons_Learned_From_DirtFish_(Rally_Racing).txt | dan_martell | [A+B+C+D] | Apply racing metaphors to business: validate small before scaling (bullets then cannonballs), stabilize operations before chasing growth, follow proven models before customizing, and reconnect to vision during chaos to stay clear.
2026-05-25_8_Habits_That_Will_Fix_98%_of_Your_Problems.txt | dan_martell | [A+B+D] | Daily measurement, morning hard work, and physical discipline are the three habits that unlock sustainable business growth; they create visibility, confidence, and clarity needed to operate multiple businesses without burnout.
2026-05-25_8_High_Income_Businesses_to_Start_in_2026.txt | dan_martell | [A+B+C+D] | High-margin service businesses (ghost writing, VA placement, personal brand agencies) with proven unit economics and demand can be launched fast using presales, niche positioning, and other people's platforms; ODIN should automate the common spokes (CRM, payments, KPI tracking, guarantee/replacement logic) to let Katelyn run multiple businesses in parallel.
2026-05-25_8_High_Income_Businesses_to_Start_in_2026.txt | dan_martell | [A+B+C+D] | Rank new businesses by gross margin (40%+ is founder-light), pre-validate in existing audiences, and use CRM automation to scale without the founder—exactly the operating model ODIN should enable.
2026-05-25_8_Middle_Class_Habits_That_Are_Keeping_You_Poor.txt | dan_martell | [A+B+C+D] | The gap between rich and poor is habits, not luck—specifically, the habits of avoiding status debt, responding fast to opportunities, delegating without supervising, and resisting the false productivity of buying more tools.
2026-05-25_8_Money_Rules_I_Wish_I_Knew_in_my_20s.txt | dan_martell | [A+B+C+D] | Work smarter not harder by building systems that don't require you, stay disciplined with money to fund opportunities, solve problems with speed instead of rumination, and build credibility before telling your story—your compounded growth comes from daily decisions that push you upward.
2026-05-25_8_Middle_Class_Habits_That_Are_Keeping_You_Poor.txt | dan_martell | [A+B+C+D] | The gap between rich and poor is habits, not luck—and the most wealth-destroying habits are status chasing, stallers (no action), speed demons (too much action without focus), supervisors (micro-managing instead of systemizing), and subscribers (buying solutions instead of implementing).
2026-05-25_8_Things_I_Did_to_Stop_Wasting_My_Evenings_After_Work.txt | dan_martell | [D] | To stop wasting evenings, integrate work with life, defend downtime as a strategy, prioritize important-not-urgent activities using the Eisenhower matrix, and curate your information diet intentionally—especially critical for multi-business founders managing energy and decision quality.
2026-05-25_8_Money_Rules_I_Wish_I_Knew_in_my_20s.txt | dan_martell | [A+B+C+D] | Work on your business, not in it—build the machine, not be the machine—and let fear guide what you work on, not time spent.
2026-05-25_8_Tiny_Habits_That_Made_Me_Rich.txt | dan_martell | [A+C+D] | Night-before planning and morning ritual (movement, hydration, input fasting) are the foundational habits that enable sustained focus and strategic thinking—critical for founders scaling multiple businesses without reactive chaos.
2026-05-25_8_Things_I_Did_to_Stop_Wasting_My_Evenings_After_Work.txt | dan_martell | [D] | Reframe evenings as creative leverage through work-life integration, scheduled hobbies, algorithmic learning, and intentional family blocks—not as time to 'balance' but as strategic capital to move forward.
2026-05-25_8_Tiny_Habits_That_Made_Me_Rich.txt | dan_martell | [A+B+D] | Implement night-before planning + morning physical/mental rituals + two daily priorities + daily learning as the foundation for running multiple businesses without founder constant presence.
2026-05-25_9_AI_Skills_You_MUST_Have_to_Become_Rich_in_2026.txt | dan_martell | [A+B+C+D] | Master the 4-step AI prompt framework and focus on finding real customer problems to solve with AI-assisted tools—then resell those solutions repeatedly; this is the 2026 wealth path, and ODIN is your engine to automate it.
2026-05-25_9_AI_Skills_You_MUST_Have_to_Get_Ahead_of_99%_of_People.txt | dan_martell | [A+B+C+D] | AI mastery hinges on three repeatable systems: structured prompting (role/context/command/format), taste curation (documenting what 'great' looks like), and master prompts (self-introduction documents that personalize every AI output). These are the skills that separate the top 1% from everyone else.
