KEY|CATEGORY|VALUE
fwr_057|KPI|Cold calling ROI: zero upfront cost, $20-30k deals possible - best ROI of any marketing channel
fwr_058|LEGAL|Realtors CAN get sued for cold calling DNC lists (because listing is a service) - wholesalers CANNOT because buying is not a service. Being licensed = liability
fwr_059|LEGAL|South Carolina: wholesaling explicitly legalized - Senator Davis + Senator Tally amendment: "advertising a contractual position is permissible"
fwr_060|COLD_CALL|10 cold call tips: (1) be kind, (2) smile while calling, (3) know your WHY, (4) visualize the deal through to close, (5) understand your stats, (6) quality skip tracing is as important as the list, (7) confirm you're talking to owner, (8) create a cold calling schedule, (9) find your best calling times, (10) use niche lists not generic high-equity
fwr_061|SCHEDULE|Best cold calling times: afternoons and early mornings - avoid 10am-noon (lower answer rates)
fwr_062|KPI|Track calls per hour (target 60-70/hr) + contacts per hour to identify best calling windows
fwr_063|COLD_CALL|Skip tracing quality = as important as the list itself: cheap skip tracing kills deals
fwr_064|COLD_CALL|Skip tracing should return 3 phone numbers per lead for best contact rates
fwr_065|LIST_SOURCE|7 non-obvious lists: (1) vacancy list, (2) property managers, (3) garage sales (absentee owners), (4) estate sale companies, (5) quit claim deeds, (6) bird dogs/earn-and-learn, (7) tax delinquency
fwr_066|LIST_SOURCE|Vacancy list: pull quarterly not monthly - 80-85% of data is same month to month; pull from XLeads, exclude on-market
fwr_067|LIST_SOURCE|Property managers: form relationships with RE brokers managing rental portfolios (500-1000 units). 8-10% vacant = leads, 3% need cash buyer. Pay marketing fee not commission
fwr_068|LIST_SOURCE|Garage sales: find absentee owner properties with garage sales via Facebook/Craigslist - call the LANDLORD not the tenant (midnight move-out intel = leverage)
fwr_069|LIST_SOURCE|Estate sale companies: 80% of estates sell within 1-2 years. Pay $1,000-1,500 marketing fee (NOT commission - not off HUD). Protects from disclosure issues
fwr_070|LIST_SOURCE|Quit claim deeds (QCD): 70-75% of Rick's deals have quit claim element. QCD = problems = opportunity. Find by pulling QC deeds from county records. Most are invalid/erroneous
fwr_071|LIST_SOURCE|Bird dog program: give 500-1000 surplus XLeads leads to bird dogs, pay $200-1500 marketing fee per deal found. Need 100 bird dogs for 2-3 deals. 3 qualifying questions: (1) did you speak with seller? (2) what's motivation? (3) is it on market?
fwr_072|MARKET|Top 25 virtual wholesaling markets 2026 (#1): Richmond VA (Henrico County) - highest margins, low competition, $350-400k median
fwr_073|MARKET|Top 25 virtual markets (#2): All of South Carolina - talk to closing attorney for legal navigation
fwr_074|MARKET|Top 25 virtual markets (#3): Eastern PA - Reading/Berks County, Allentown, Poconos area
fwr_075|MARKET|Top 25 virtual markets (#4): Oklahoma City - high buyer demand, double close or partner to navigate disclosure laws
fwr_076|MARKET|Top 25 virtual markets (#5): Louisville KY - avoid Lexington (bad), Louisville works well
fwr_077|MARKET|Top 25 markets (#6): Brevard County FL (Palm Bay/Melbourne) - 300k people, same builder as Port St. Lucie, very dense housing
fwr_078|MARKET|Top 25 markets (#7): Norfolk VA / Hampton Roads / Virginia Beach - massive naval base, huge military population
fwr_079|MARKET|Top 25 markets (#8): Fresno CA - only affordable California market for wholesaling
fwr_080|MARKET|Top 25 markets (#9): Tulsa OK - major 180 in past 3-4 years, now excellent buyer demand
fwr_081|MARKET|Top 25 markets (#10): Clarksville TN - Fort Campbell military base, discovered via podcast interviews of successful wholesalers there
fwr_082|MARKET|Top 25 markets (#11): Fayetteville NC - Cumberland County ~300k people, military base
fwr_083|MARKET|Top 25 markets (#12): Dallas TX - insatiable buyer demand, best for volume
fwr_084|MARKET|Top 25 markets (#13): Gastonia NC (Gaston County) - west of Charlotte, 100k+ people, very low virtual wholesaler competition
fwr_085|MARKET|Top 25 markets (#14): Manchester NH - consistently produces deals
fwr_086|MARKET|Top 25 markets (#15): Port St. Lucie FL / St. Lucie County - massive dense housing grid, all 3/2 homes, best personal market of Rick's
fwr_087|MARKET|Top 25 markets (#16): Macon GA / Warner Robins - deals as low as $20k, central Georgia
fwr_088|MARKET|Top 25 markets (#17): Detroit MI / Wayne County - 600k+ people, very cheap, high demand
fwr_089|MARKET|Top 25 markets (#18): Asheville NC - recovering from hurricane, still solid
fwr_090|MARKET|Top 25 markets (#19): Florida Panhandle (Destin to Pensacola) - high demand, low virtual wholesaler count
fwr_091|MARKET|Top 25 markets (#20): Indianapolis IN / Fort Wayne - cheap real estate, entire 90-min ring around Indy is hot
fwr_092|MARKET|Top 25 markets (#21): Columbus OH - wholesale the MSA not just city; Springfield OH especially underrated
fwr_093|MARKET|Top 25 markets (#22): Knoxville TN - Eastern Tennessee, cheap real estate, strong population inflow
fwr_094|MARKET|Top 25 markets (#23): Dayton OH / Montgomery County - median $196k, huge buyer pool
fwr_095|MARKET|Top 25 markets (#24): Gainesville FL / Alachua County - 284k people, median $301k cheap for FL; also consider Ocala/Marion County
fwr_096|MARKET|Top 25 markets (#25): Columbus GA / Muscogee County - 207k people, median $183k, massive military base (Fort Benning area)
fwr_097|MARKET_THEORY|Good market ratio = deals closed per month ÷ number of wholesalers. Avoid "NBA markets" - cities with sports teams get flooded with beginners
fwr_098|MARKET_THEORY|NBA markets to avoid for virtual: Phoenix, Atlanta, Dallas, Miami, Charlotte - overrun with beginners choosing by sports team
fwr_099|MARKET_RESEARCH|U-Haul Growth Index = best free tool for population migration data by city; Texas #1, Florida #2 for inflow
fwr_100|MARKET_RESEARCH|Home Depot/Starbucks proximity = demand signal; within 3-mile radius of target zip code = good market
fwr_101|TOOL|XLeads sellability score: 0-1000, analyzes 15+ financial distress factors (foreclosure, late payments, divorce). Filter 750+ = strong motivation; 900+ = extreme motivation
fwr_102|TOOL|XLeads sky drive (AI driving for dollars): real-time satellite scan of properties - scores 0-100 for physical distress. Combine with sellability for double-distress targeting
fwr_103|TOOL|XLeads signal flip by zip: shows 0-10 flip rate score by zip code - find hottest zip codes in any county
fwr_104|TOOL|XLeads buyer match: auto-matches deals to cash buyers by price point + neighborhood preferences - built into dispo workflow
fwr_105|TOOL|XLeads direct mail: manage postcard campaigns inside platform, ~$0.60/piece
fwr_106|TOOL|XLeads email offer generator (EOG): auto-sends personalized offers to seller emails while you sleep. Specific dollar amounts (e.g. $146,247.72) trigger callbacks. 10-15% engagement rate
fwr_107|TACTIC|Email offer generator tactic: use oddly specific offer amounts ($146,247.72 not $146,000) - sellers call back asking how you calculated it - reopens conversation
fwr_108|TACTIC|XLeads deceased probates: find probate leads inside platform via Liens > Lien Types > Deceased Probates (backup to pulling from courthouse directly)
fwr_109|SCALE|3 wholesaling stages: Stage 1 = get 1st deal (3-5k leads, 15-20 hrs/wk part-time, you + AI only); Stage 2 = get 5 deals (15k leads/mo, 40-90 hrs/wk, add VA); Stage 3 = get 30 deals/yr ($5-10k/mo budget, 30k leads/mo, employees)
fwr_110|SCALE|Stage 1 success rate: 10% of people who start. Stage 2 success: 5-6% of those. Stage 3 success: less than 2% of stage 1 starters
fwr_111|SCALE|Direct mail = #1 source for 70% of wholesale leads at scale. 90-day commitment minimum. ~$0.60/piece. Only do after 5 deals completed
fwr_112|SCALE|Every $5k/month in marketing budget requires one additional employee to handle the leads
fwr_113|SCALE|Scale method: excess XLeads leads → give to bird dogs (earn-and-learn) → bird dogs become future acquisitions managers
fwr_114|SCALE|100% of acquisitions managers hired from job boards fail. Find them through bird dog/earn-and-learn programs instead
fwr_115|FSBO|Zillow FSBO filter strategy: 90+ days on market + 2 price reductions = motivated seller. Day 1 = wants to sell; 90 days = needs to sell
fwr_116|FSBO|Sellers overprice by 10-15% above Zestimate due to ego. Time + circumstance are the only things that change their mind
fwr_117|FSBO|FSBO with 1+ year on market = ego problem, very hard to negotiate. Focus on 90-180 day range
fwr_118|INBOUND|Cold inbound leads ($7-50/deal cost): email blasts, cold DMs to wholesalers, EOG offers, sticky notes on doors, digital bandit signs, physical bandit signs
fwr_119|INBOUND|Hot inbound leads ($3,000-10,000/deal cost): PPC, PPL, SEO, radio, TV, direct mail. Only worthwhile after Stage 2
fwr_120|INBOUND|PPC cost per deal math: 15 leads × $300-700/lead = $4,500-$10,500 per deal. Cold calling = $300-900 per deal
fwr_121|INBOUND|Email blast strategy: 30,000 cold emails/month with personalized video (Loom). Include offer amount + expiration date + callback number. 10-15% engagement
fwr_122|INBOUND|Cold DM to other wholesalers: 90 DMs/month through freewholesaling.com map feature - find JV partners by geography
fwr_123|INBOUND|Reverse driving for dollars: pull pre-foreclosure list → buy sticky notes from dollar store → write "Hey this is Zach, had a quick question about your property, call me back" → stick on door
fwr_124|INBOUND|Digital bandit signs: post in Facebook groups (50-70k members) that you're buying properties for cash in the area
fwr_125|INBOUND|Physical bandit signs: 10-15 signs in tight cluster near high-traffic intersections (Walmart/Home Depot), "Sell your house today - any condition, any situation" + phone number. Cost: ~$20 for signs + stakes
fwr_126|TACTIC|Don't ever use the words "wholesaler," "investor," or "marketing" when requesting government lists - say "I'm doing research on properties in my county"
fwr_127|LIST_SOURCE|Tax delinquency = best single catch-all list: includes probates, foreclosures, bad rentals, vacants. If 2-3 years behind = needs to sell. Pull from county tax collector (where DMV is)
fwr_128|LIST_SOURCE|Vacancy list explained: USPS marks property vacant when mailbox overfills and mail cannot be delivered, or forwarding address filed. Only pull quarterly (80-85% same data month to month)
fwr_129|LIST_SOURCE|Tax delinquent + vacant = almost guaranteed motivated seller (double distress = highest probability)
fwr_130|LIST_SOURCE|Water shutoff list: hardest to get (difficulty 8/10), must be publicly traded utility, contact by phone/email only
fwr_131|LIST_SOURCE|Evictions: public lawsuit = easy to access (difficulty 2/10), contact county court
fwr_132|LIST_SOURCE|Pre-foreclosures: public lawsuit = easy to access (difficulty 2/10)
fwr_133|LIST_SOURCE|Probates: courthouse or online, 3/10 difficulty due to privacy policy resistance
fwr_134|TOOL|Free skip tracing sources: cyberbackgroundchecks.com, truepeoplesearch.com - for beginners with no budget
fwr_135|TOOL|Google Voice: free dialer for beginners. Limitation: gets flagged as spam quickly; upgrade to paid dialer after first deal
fwr_136|TOOL|Batch Dialer: $150/month promo (60 numbers, rotate when flagged). Good alternative to XLeads for budget-conscious beginners
fwr_137|MARKET|Memphis TN / Shelby County: hot market, tons of cash buyers, Germantown + Collierville + Bartlett + Arlington = target zip codes within county
fwr_138|MARKET|Avoid: Augusta GA, Savannah GA (Rick personally can't get traction there despite large populations)
fwr_139|MARKET|Avoid for virtual wholesaling: Fort Lauderdale/Broward (too expensive), Houston (very saturated but high volume - neutral), Phoenix (saturated, limited returns)
fwr_140|MARKET|Springfield OH: highly underrated secondary market off Columbus - very low virtual wholesaler competition
fwr_141|LEGAL|Oklahoma wholesaling: disclosure required for assignments; double close OR partner with local person is workaround; talk to closing attorney
fwr_142|LEGAL|Texas TCPA: no case law yet for DNC violations; cold calling still likely fine but cannot be instantly dismissed - need case law to develop
fwr_143|LEGAL|Wholesaling legal in all 50 states: you can make money finding discounted real estate in every state (per Rick, 24 years experience)
fwr_144|LEGAL|Title company workaround: 90% of title companies won't work with wholesalers - find investor-friendly ones; national title companies available
fwr_145|DISPOSITION|XLeads dispo: buyer match feature auto-finds cash buyers by property type, price point, and neighborhood. On X plan = full disposition workflow built in
fwr_146|KPI|Stage 2 target: 15,000 leads/month to sustain 5 deals. Stage 3 target: 30,000-45,000 leads/month for 30 deals/year
fwr_147|MINDSET|"Busy = broke" principle: when someone says they're busy it means they're unfocused/overwhelmed, not productive
fwr_148|MINDSET|3 phases of wholesaling: (1) Marketing - must master first or quit, (2) Acquisitions - talking/negotiating with sellers, (3) Disposition - finding cash buyers
fwr_149|MINDSET|Sellers want two things: (1) trust - they must trust you, (2) problem solved - you must show you can fix their situation
fwr_150|MINDSET|"Try" = scapegoat word that predicts failure. Replace with "do." People who "try" wholesaling quit within stage 1
